,sunny,cloudy,rainy
angry,https://www.youtube.com/embed/PDSkFeMVNFs,https://www.youtube.com/embed/zwzoK4VWAHM,https://www.youtube.com/embed/UJ1tBVtYOBc
disgust,https://www.youtube.com/embed/PDSkFeMVNFs,https://www.youtube.com/embed/zwzoK4VWAHM,https://www.youtube.com/embed/UJ1tBVtYOBc
fear,https://www.youtube.com/embed/PDSkFeMVNFs,https://www.youtube.com/embed/zwzoK4VWAHM,https://www.youtube.com/embed/UJ1tBVtYOBc
happy,https://www.youtube.com/embed/PDSkFeMVNFs,https://www.youtube.com/embed/zwzoK4VWAHM,https://www.youtube.com/embed/UJ1tBVtYOBc
sad,https://www.youtube.com/embed/PDSkFeMVNFs,https://www.youtube.com/embed/zwzoK4VWAHM,https://www.youtube.com/embed/UJ1tBVtYOBc
surprise,https://www.youtube.com/embed/PDSkFeMVNFs,https://www.youtube.com/embed/zwzoK4VWAHM,https://www.youtube.com/embed/UJ1tBVtYOBc
neutral,https://www.youtube.com/embed/PDSkFeMVNFs,https://www.youtube.com/embed/zwzoK4VWAHM,https://www.youtube.com/embed/UJ1tBVtYOBc
