1,fine weather
2,sunny
3,light cloud
4,cloudiness
5,smoke
6,sand dust storm
7,drifting snow
8,fog
9,drizzle
10,rain
11,sleet
12,snow
13,hail
14,hail
15,thunder
16,shower
17,icing property rain
18,icing property drizzle
19,snow shower
20,snow grain
21,ice pellets
22,diamond dust
23,purlin
24,precipitation
